LexToken(PRINT,'print',81,2037)
LexToken(LPAREN,'(',81,2042)
LexToken(VARIABLE,'Super',81,2044)
LexToken(VARIABLE,'check',81,2050)
LexToken(VARIABLE,'passed',81,2056)
LexToken(RPAREN,')',81,2063)
LexToken(DOTCOMMA,';',81,2064)
LexToken(RBRACE,'}',82,2074)
LexToken(RBRACE,'}',83,2080)
LexToken(PRIVATE,'private',85,2087)
LexToken(VOID,'void',85,2095)
LexToken(PRINT,'print',85,2100)
LexToken(LPAREN,'(',85,2105)
LexToken(STRING,'String',85,2106)
LexToken(VARIABLE,'message',85,2113)
LexToken(RPAREN,')',85,2120)
LexToken(LBRACE,'{',85,2122)
LexToken(VARIABLE,'System',86,2132)
LexToken(DOT,'.',86,2138)
LexToken(VARIABLE,'out',86,2139)
LexToken(DOT,'.',86,2142)
LexToken(VARIABLE,'println',86,2143)
LexToken(LPAREN,'(',86,2150)
LexToken(VARIABLE,'message',86,2151)
LexToken(RPAREN,')',86,2158)
LexToken(DOTCOMMA,';',86,2159)
LexToken(RBRACE,'}',87,2165)
LexToken(RBRACE,'}',88,2167)
